               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027278,            0.027409,           0.0020956,             0.99685,             0.99753,              0.9946,             0.76245,            0.022741,            0.013525,            0.001927,           0.0097178,           0.0097178,           0.0097178
                  36,            0.026571,            0.025773,            0.002101,             0.99635,             0.99753,             0.99458,             0.79347,            0.020909,            0.013414,           0.0017433,           0.0097011,           0.0097011,           0.0097011
                  37,            0.026621,            0.024311,           0.0021164,              0.9974,             0.99753,             0.99268,             0.77997,            0.020925,            0.013691,           0.0019206,            0.009684,            0.009684,            0.009684
                  38,            0.026378,             0.02865,           0.0020648,             0.99728,             0.99753,             0.99315,             0.78747,            0.021491,            0.013393,           0.0017459,           0.0096664,           0.0096664,           0.0096664
                  39,            0.025258,            0.025144,           0.0018775,             0.99599,             0.99753,             0.99451,             0.80811,            0.019543,            0.013444,           0.0017949,           0.0096484,           0.0096484,           0.0096484
                  40,            0.025824,            0.025505,           0.0019524,             0.99733,             0.99753,             0.99359,             0.79924,            0.021168,            0.013808,           0.0017624,           0.0096299,           0.0096299,           0.0096299
                  41,            0.024103,            0.021594,           0.0019533,             0.99741,             0.99753,             0.99404,             0.75336,            0.022544,            0.013961,           0.0017171,            0.009611,            0.009611,            0.009611
                  42,            0.024131,            0.023249,           0.0018398,             0.99677,             0.99753,             0.99367,             0.77686,            0.020543,            0.013254,           0.0016888,           0.0095916,           0.0095916,           0.0095916
                  43,            0.024596,            0.022986,           0.0017754,             0.99724,             0.99753,             0.99478,             0.78237,            0.021839,            0.013425,           0.0017693,           0.0095717,           0.0095717,           0.0095717
                  44,            0.022916,            0.023293,           0.0018808,             0.99742,             0.99753,             0.99473,             0.79656,            0.021038,            0.013311,           0.0017693,           0.0095514,           0.0095514,           0.0095514
                  45,            0.025142,            0.025529,           0.0019655,             0.99728,             0.99753,             0.99463,             0.76345,            0.023219,            0.013524,           0.0017316,           0.0095307,           0.0095307,           0.0095307
                  46,            0.024285,            0.024973,           0.0018548,             0.99728,             0.99753,             0.99367,             0.80082,            0.020226,            0.013133,           0.0016624,           0.0095095,           0.0095095,           0.0095095
                  47,            0.024162,            0.022622,           0.0018919,             0.99736,             0.99753,             0.99416,              0.8005,            0.020092,            0.013121,           0.0017876,           0.0094879,           0.0094879,           0.0094879
                  48,            0.024243,            0.022701,           0.0018019,             0.99736,             0.99753,             0.99391,             0.80288,            0.019633,            0.013388,           0.0016803,           0.0094659,           0.0094659,           0.0094659
                  49,            0.025542,            0.026817,           0.0018977,              0.9974,             0.99753,             0.99352,             0.79949,            0.019607,            0.012914,           0.0016751,           0.0094434,           0.0094434,           0.0094434
                  50,            0.022278,            0.022889,           0.0017005,             0.99711,             0.99752,             0.99465,              0.7969,            0.019229,            0.012914,           0.0016528,           0.0094205,           0.0094205,           0.0094205
                  51,            0.023941,              0.0233,           0.0018878,             0.99744,             0.99753,             0.99468,             0.81501,            0.019873,            0.012866,           0.0017326,           0.0093971,           0.0093971,           0.0093971
                  52,            0.023007,            0.022282,            0.001862,             0.99738,             0.99753,             0.99463,             0.81218,            0.019773,            0.012685,           0.0016528,           0.0093733,           0.0093733,           0.0093733
                  53,            0.022362,            0.023651,            0.001767,             0.99736,             0.99753,             0.99347,             0.79728,            0.020948,            0.013426,           0.0016253,           0.0093491,           0.0093491,           0.0093491
                  54,            0.023493,            0.023903,           0.0019323,             0.99739,             0.99753,             0.99451,             0.80051,            0.020806,            0.013548,           0.0017202,           0.0093245,           0.0093245,           0.0093245
                  55,            0.023046,              0.0266,           0.0018647,             0.99742,             0.99753,              0.9947,             0.80454,            0.019605,            0.013065,           0.0015699,           0.0092995,           0.0092995,           0.0092995
                  56,            0.022893,              0.0254,           0.0017671,             0.99722,             0.99753,             0.99458,             0.80371,            0.020217,            0.013159,           0.0016024,            0.009274,            0.009274,            0.009274
                  57,            0.022784,            0.026607,           0.0018089,             0.99715,             0.99753,             0.99374,             0.80514,            0.019925,            0.012994,           0.0016602,           0.0092481,           0.0092481,           0.0092481
                  58,            0.023463,            0.023054,           0.0017236,             0.99721,             0.99753,             0.99453,             0.81505,            0.019216,            0.012894,           0.0016386,           0.0092219,           0.0092219,           0.0092219
                  59,             0.02325,            0.025935,           0.0018727,             0.99739,             0.99753,             0.99416,             0.77552,            0.022218,            0.013551,           0.0015582,           0.0091952,           0.0091952,           0.0091952
                  60,            0.023199,            0.022446,           0.0015764,             0.99593,             0.99753,             0.99335,             0.82258,            0.019238,            0.012737,           0.0015516,           0.0091681,           0.0091681,           0.0091681
                  61,            0.023272,            0.022112,            0.001637,              0.9968,             0.99753,             0.99431,             0.78681,            0.020795,            0.012929,           0.0015814,           0.0091406,           0.0091406,           0.0091406
                  62,            0.021642,            0.021307,            0.001578,             0.99723,             0.99753,             0.99386,             0.82476,            0.018334,            0.012603,           0.0015355,           0.0091127,           0.0091127,           0.0091127
                  63,             0.02276,            0.025707,            0.001714,             0.99716,             0.99753,             0.99465,             0.81468,            0.019239,            0.012964,            0.001424,           0.0090844,           0.0090844,           0.0090844
                  64,            0.021782,            0.022952,            0.001562,              0.9975,             0.99753,             0.99483,             0.82914,            0.017813,            0.012607,           0.0014359,           0.0090557,           0.0090557,           0.0090557
                  65,            0.022038,            0.021765,           0.0016328,             0.99715,             0.99753,             0.99364,              0.8242,            0.019324,            0.013046,           0.0015572,           0.0090266,           0.0090266,           0.0090266
                  66,            0.021943,            0.022526,           0.0016886,             0.99692,             0.99753,             0.99347,               0.821,            0.018195,            0.012639,           0.0016906,           0.0089972,           0.0089972,           0.0089972
                  67,            0.021224,              0.0224,           0.0016823,              0.9968,             0.99753,             0.99406,             0.83798,            0.018122,             0.01256,           0.0015458,           0.0089673,           0.0089673,           0.0089673
                  68,             0.02141,            0.021409,           0.0015692,             0.99722,             0.99753,             0.99446,             0.81873,            0.019512,            0.012784,           0.0014847,           0.0089371,           0.0089371,           0.0089371
                  69,            0.021403,            0.022286,           0.0017375,             0.99736,             0.99753,             0.99359,             0.82842,             0.01816,            0.012546,           0.0015031,           0.0089065,           0.0089065,           0.0089065
                  70,            0.022022,            0.025619,           0.0017471,             0.99713,             0.99753,             0.99478,             0.81961,            0.018047,             0.01324,           0.0014721,           0.0088755,           0.0088755,           0.0088755
                  71,            0.021502,            0.022847,           0.0016165,             0.99693,             0.99753,             0.99468,              0.8129,            0.019008,            0.012987,           0.0014578,           0.0088442,           0.0088442,           0.0088442
                  72,            0.021775,            0.022008,            0.001592,             0.99661,             0.99753,             0.99416,             0.82175,            0.018537,            0.013015,           0.0015996,           0.0088124,           0.0088124,           0.0088124
                  73,            0.020994,            0.021724,           0.0016212,             0.99663,             0.99753,             0.99483,             0.83784,            0.017542,            0.012663,           0.0015177,           0.0087804,           0.0087804,           0.0087804
                  74,            0.020285,            0.022203,           0.0015748,             0.99684,             0.99753,               0.995,             0.84609,             0.01766,            0.012659,           0.0014698,           0.0087479,           0.0087479,           0.0087479
                  75,             0.02067,            0.022056,           0.0016031,             0.99693,             0.99753,              0.9949,             0.81923,            0.018334,            0.012952,           0.0015725,           0.0087151,           0.0087151,           0.0087151
                  76,            0.020439,             0.02122,           0.0015933,             0.99727,             0.99753,             0.99423,             0.85275,            0.017396,            0.012195,           0.0015178,            0.008682,            0.008682,            0.008682
                  77,            0.021313,            0.020024,           0.0015498,             0.99657,             0.99752,             0.99465,              0.8365,            0.017966,            0.012646,           0.0014519,           0.0086485,           0.0086485,           0.0086485
                  78,             0.02024,            0.021453,           0.0014966,             0.99728,             0.99753,             0.99436,             0.83379,            0.017612,            0.012863,           0.0014993,           0.0086146,           0.0086146,           0.0086146
                  79,            0.020934,            0.023165,           0.0015985,             0.99705,             0.99752,             0.99438,             0.82071,            0.018496,            0.012767,           0.0014055,           0.0085805,           0.0085805,           0.0085805
                  80,             0.01958,            0.021322,           0.0015266,             0.99745,             0.99753,             0.99473,             0.85279,            0.017165,            0.012324,           0.0014004,           0.0085459,           0.0085459,           0.0085459
                  81,            0.021742,            0.022794,            0.001524,             0.99671,             0.99753,             0.99473,             0.83898,            0.017452,            0.013301,           0.0014676,           0.0085111,           0.0085111,           0.0085111
